,publisher,genre,follows,followed by,part of the series,instance of,author,title,series ordinal,language of work or name,country of origin,derivative work,OCLC work ID,NooSFere book ID,publication date,Freebase ID,Open Library ID,has edition,OCLC control number,ISBN-13,page(s),original language of film or TV show,narrative location,ISBN-10,copyright status,characters,Internet Archive ID,main subject,NNL work ID,official website,set in period,distribution format,country,LibraryThing work ID,number of pages,subtitle,place of publication,Goodreads book ID,edition number,Google Books ID,described at URL,VIAF ID,Google Knowledge Graph ID,Babelio work ID,DNB editions,Wolfram Language entity code,illustrator,Library of Congress authority ID,ISFDB title ID,has part,image,inception,award received,GND ID,edition or translation of,editor,number of parts of this work of art,distributor,issue,full work available at,scanned file on Wikimedia Commons,BVMC work ID,SUDOC editions,Bibliothèque nationale de France ID,part of,volume,published in,takes place in fictional universe,copyright license,Commons category
123,,non-fiction,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,short story,,,,literary work,Raúl Vallejo,Fiesta de solitarios,,Spanish,Ecuador,,,,1992-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joaquín Gallegos Lara National Fiction Prize,,,,,,,,,,,,,,,,,
125,Casa de la Cultura Ecuatoriana,short story,,,,literary work,Ángel Felicísimo Rojas,Un idilio bobo,,Spanish,Ecuador,,,,1946-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,psychological thriller,,,,literary work,Sebastian Fitzek,,,,,,,,2015-01-01T00:00:00Z,,,,,,,German,,,,,,,,https://www.sebastianfitzek.de/buch/das-joshua-profil/,,,,,,,,,,,,65145663010305070510,,,,,,,,,,,,1159383405,,,,,,,,,,,,,,,,
127,,psychological thriller,,,,book,Sebastian Fitzek,,,,,,,,2017-01-01T00:00:00Z,,,,,,,German,,,,,,,,https://www.sebastianfitzek.de/buch/achtnacht/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,biography,,,,"version, edition, or translation",Renate Croll,Gluck. Sein Leben. Seine Musik,,German,,,,,2014-01-01T00:00:00Z,,,,,978-3-7618-2378-1,,,,,,,,Christoph Willibald von Gluck,,,,,,,,,,,2,,,,,,,,,,,,,,,,Gluck. Sein Leben. Seine Musik,,,,,,,,,,,,,,,
129,,biography,,,,book,Ignaz von Mosel,Ueber das Leben und die Werke des Anton Salieri,,German,,,,,1827-01-01T00:00:00Z,,,,165898107,,,,,,public domain,,,Antonio Salieri,,,,,,,,,,,1,R9w2AQAAMAAJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Macmillan Publishers,encyclopedia,,,,literary work,,The Dictionary of Art,,English,,,,,1996-01-01T00:00:00Z,,OL8701225M,Grove Art Online,,,,,,1-884446-00-0,,,,,,,,,,,,,London,,1,,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Volumes%20of%20the%20%27The%20Dictionary%20of%20Art%27%20shelved.JPG,,,,,Jane Turner,34,"Grove's Dictionaries, Inc.",,,,,,,,,,,,
131,Nijgh & Van Ditmar,biographical dictionary,Onze Musici (1898),,,book,,,,Dutch,,,,,1911-01-01T00:00:00Z,,,,469067877,,,,,,public domain,,,,,,,,,,300,,Rotterdam,,,,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Musici%20%281911%29.pdf,,,,,,,,2,https://www.dbnl.org/tekst/_onz004onze01_01/,http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Musici%20%281911%29.pdf,,,,,,,,,
132,Editorial Anagrama,horror fiction,,,,literary work,Mariana Enríquez,Las cosas que perdimos en el fuego,,Spanish,Argentina,,,,2016-01-01T00:00:00Z,,,,,,,,Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Barcelona Award,,,,,,,,,,,,,,,,,
133,Editorial Anagrama,horror fiction,,,,literary work,Mariana Enríquez,Las cosas que perdimos en el fuego,,Spanish,Argentina,,,,2016-01-01T00:00:00Z,,,,,,,,Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Barcelona Award,,,,,,,,,,,,,,,,,
134,,literary realism,,,,literary work,José de la Cuadra,Horno,,Spanish,Ecuador,,,,1932-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Tigress,,,,,,,,,,,,,,,,,,,,
135,Aschehoug,essay,,,,book,André Bjerke,Djevelens omgangsfelle,,Riksmål,Norway,,,,1974-01-01T00:00:00Z,,,,,,,,,82-03-06377-2,,,,Faust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,mémoire,,,,book,Enrico Hillyer Giglioli,"Les Cétacés observés durant le voyage autour du globe de la corvette à vapeur le Magenta, de 1865 à 1868",,,,,,,1874-01-01T00:00:00Z,,,,,,,,,,public domain,,,Cetacea,,,,,,,,,Naples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Mayflower Publishing Company,dictionary,,,,book,,Who's who in the Central States,,,,,,,1929-01-01T00:00:00Z,,,,83983228,,,,,,,,,United States of America,,,,,,,,"A Business, Professional and Social record of men and women of achievement in the Central States",Baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Golden Syndicate Publishing Company,biographical dictionary,,,,book,Alberta Lawrence,Who's who among North American authors,,English,,,,,1921-01-01T00:00:00Z,,,,1772764,,,,,,public domain,,whoswhoamongnor00unkngoog,,,,,,,,,,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,The C. M. Clark Publishing Company,novel,,,,book,Alberta Lawrence,The Travels of Phoebe Ann,,English,,,,,1908-01-01T00:00:00Z,,,,,,,,,,public domain,,travelsofphoebea00lawriala,,,,,,,,436,,Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,narrative,,,,book,Rosario de Acuña,El país del sol,,Spanish,,,,,1930-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cervantesvirtual.com/obra-visor/el-pais-del-sol-cuento/html/,,144607,,,,,,,,
141,,narrative,,,,book,Rosario de Acuña,,,,,,,,1988-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cervantesvirtual.com/obra-visor/la-casa-de-munecas/html/,,144639,,,,,,,,
142,,Narrativo,,,,book,Rosario de Acuña,,,,,,,,1881-01-01T00:00:00Z,,,,,,,,,,public domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cervantesvirtual.com/obra-visor/tiempo-perdido-algo-sobre-la-mujer-/html/,,721722,,,,,,,,
143,,biography,,,,"version, edition, or translation",Gerhard Croll,Gluck. Sein Leben. Seine Music,,German,,,,,2010-01-01T00:00:00Z,,,"Gluck. Sein Leben. Seine Musik, 2. Auflage",,978-3-7618-2166-4,,,,,,,,Christoph Willibald von Gluck,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"Institute of Historical Studies (Kolkata, India)",biographical dictionary,,,,book,Siba Pada Sen,Dictionary of national biography,,English,India,,,,1973-01-01T00:00:00Z,,,,707173,,,,,,,,,India,,,,,,,,,Kolkata,,,,,,,,,,,,,Dictionary of National Biography: E-L,,,,,,,4,,,,,,015572463,34318459b,,,,,,
145,"Institute of Historical Studies (Kolkata, India)",biographical dictionary,,,,book,Siba Pada Sen,Dictionary of national biography,,English,India,,,,1973-01-01T00:00:00Z,,,,707173,,,,,,,,,India,,,,,,,,,Kolkata,,,,,,,,,,,,,Dictionary of National Biography: E-L,,,,,,,4,,,,,,015572463,34318459b,,,,,,
146,"Institute of Historical Studies (Kolkata, India)",biographical dictionary,Dictionary of National Biography: E-L,Dictionary of National Biography: S-Z,,book,Siba Pada Sen,Dictionary of National Biography,,English,India,,,,1974-01-01T00:00:00Z,,,,,,,,,,,,dli.bengal.10689.12047,India,,,,,,,562,Volume III (M-R),Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,,35125388x,Dictionary of national biography,3,,,,
147,"Institute of Historical Studies (Kolkata, India)",biographical dictionary,Dictionary of National Biography: M-R,,,book,Siba Pada Sen,Dictionary of National Biography,,English,India,,,,1974-01-01T00:00:00Z,,,,,,,,,,,,dli.bengal.10689.11634,India,,,,,,,465,Volume IV (S-Z),Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,,35128042h,Dictionary of national biography,4,,,,
148,Robert Laffont,dictionary,,,,"version, edition, or translation",Louis-Frédéric Nussbaum,Le nouveau dictionnaire de la civilisation indienne,,French,France,,,,2018-01-01T00:00:00Z,,,,1022920220,,,,,,,,,India,,,,,,,,,Paris,,2,,,,,,,,,,,Le nouveau dictionnaire de la civilisation indienne: A-L,,,,,Dictionnaire de la civilisation indienne,,,,,,,,224224085,455138841,,,,,,
